L -1248.7782, -505.5575, -269.1553,  -1241.4828, -512.8553, -269.1554,  0, 0, 0
L -1241.4828, -512.8553, -269.1537,  -1255.9153, -527.2896, -269.1554,  0, 0, 0
L -1255.9153, -527.2896, -269.1554,  -1257.7715, -525.4372, -269.1534,  0, 0, 0
L -1257.7715, -525.4372, -269.1534,  -1258.6691, -526.3342, -269.1554,  0, 0, 0
L -1258.6691, -526.3342, -269.1554,  -1262.9745, -527.1837, -269.1554,  0, 0, 0
L -1262.9745, -527.1837, -269.1554,  -1262.3140, -522.7917, -269.1554,  0, 0, 0
L -1262.3140, -522.7917, -269.1554,  -1261.3639, -521.8455, -269.1534,  0, 0, 0
L -1261.3639, -521.8455, -269.1534,  -1263.2206, -519.9854, -269.1554,  0, 0, 0
L -1263.2206, -519.9854, -269.1554,  -1248.7782, -505.5575, -269.1554,  0, 0, 0
L -1278.1010, -519.9870, -269.1537,  -1292.5403, -505.5566, -269.1554,  0, 0, 0
L -1292.5403, -505.5566, -269.1554,  -1299.8394, -512.8557, -269.1554,  0, 0, 0
L -1299.8394, -512.8557, -269.1554,  -1285.4081, -527.2919, -269.1554,  0, 0, 0
L -1285.4081, -527.2919, -269.1554,  -1283.5514, -525.4371, -269.1534,  0, 0, 0
L -1283.5514, -525.4371, -269.1534,  -1282.5730, -526.4146, -269.1554,  0, 0, 0
L -1282.5730, -526.4146, -269.1554,  -1278.1753, -527.0897, -269.1554,  0, 0, 0
L -1278.1753, -527.0897, -269.1554,  -1278.9623, -522.8314, -269.1554,  0, 0, 0
L -1278.9623, -522.8314, -269.1554,  -1279.9596, -521.8445, -269.1534,  0, 0, 0
L -1279.9596, -521.8445, -269.1534,  -1278.1010, -519.9870, -269.1554,  0, 0, 0
L 556.0652, -1558.3180, -272.2853,  520.2057, -1593.4109, -272.2852,  0, 0, 0
L 520.2057, -1593.4109, -272.2852,  483.6212, -1659.2094, -272.2854,  0, 0, 0
L 483.6212, -1659.2094, -272.2854,  479.0180, -1687.7394, -272.2854,  0, 0, 0
L 479.0180, -1687.7394, -272.2854,  535.9134, -1687.8694, -272.2854,  0, 0, 0
L 556.0652, -1558.3180, -272.1715,  575.8331, -1554.9148, -272.2853,  0, 0, 0
L 575.8331, -1554.9148, -272.2853,  599.4160, -1545.6835, -272.2854,  0, 0, 0
L 599.4160, -1545.6835, -272.2854,  611.1758, -1538.2372, -272.2795,  0, 0, 0
L 611.1758, -1538.2372, -272.2795,  630.5848, -1510.8904, -272.2842,  0, 0, 0
L 630.5848, -1510.8904, -272.2842,  646.7923, -1477.8517, -272.2854,  0, 0, 0
L 646.7923, -1477.8517, -272.2854,  669.5658, -1455.8279, -272.2854,  0, 0, 0
